,Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force participation rate (2),Labour force participation rate (2),Labour force participation rate (2),Unemployed persons (3),Unemployed persons (3),Unemployed persons (3),Unemployment rate (4),Unemployment rate (4),Unemployment rate (4),Unemployment rate (seasonally adjusted) (5),Employed persons (6),Employed persons (6),Employed persons (6),Underemployed persons (7),Underemployed persons (7),Underemployed persons (7),Underemployment rate (8),Underemployment rate (8),Underemployment rate (8)
,No. ('000),No. ('000),No. ('000),Year-on-year % change,Year-on-year % change,Year-on-year % change,(%),(%),(%),No. ('000),No. ('000),No. ('000),(%),(%),(%),(%),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),(%),(%),(%)
,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes
11/2008 - 1/2009,1949.4,1702.2,3651.5,-0.3,0.8,0.2,69.7,53.2,60.9,98.5,58.4,156.9,5.1,3.4,4.3,4.6,1850.9,1643.8,3494.7,53.9,21.4,75.3,2.8,1.3,2.1
12/2008 - 2/2009,1946.9,1713.2,3660.1,-0.2,1.9,0.8,69.6,53.5,61,110.4,61.5,171.8,5.7,3.6,4.7,5.1,1836.5,1651.8,3488.3,52.5,22.4,74.9,2.7,1.3,2
1/2009 - 3/2009,1945.3,1721.4,3666.7,0.2,2.2,1.1,69.5,53.7,61.1,116.7,70.5,187.2,6,4.1,5.1,5.2,1828.6,1650.9,3479.5,54.4,23.5,77.9,2.8,1.4,2.1
2/2009 - 4/2009,1942.1,1722,3664.1,[¡ì3],2.1,1,69.4,53.6,61,122.8,73.7,196.5,6.3,4.3,5.4,5.3,1819.3,1648.3,3467.6,55.1,23,78.1,2.8,1.3,2.1
3/2009 - 5/2009,1950.5,1727.6,3678.2,0.6,2.3,1.4,69.7,53.7,61.2,120.9,77.4,198.4,6.2,4.5,5.4,5.3,1829.6,1650.2,3479.8,61.9,22.1,84,3.2,1.3,2.3
4/2009 - 6/2009,1950.9,1721.5,3672.4,0.6,2,1.3,69.7,53.5,61,125.2,76.7,201.9,6.4,4.5,5.5,5.3,1825.8,1644.8,3470.5,61.8,21.5,83.3,3.2,1.3,2.3
5/2009 - 7/2009,1952.8,1728.3,3681.1,0.6,2.2,1.3,69.8,53.7,61.1,129.3,83,212.2,6.6,4.8,5.8,5.4,1823.6,1645.3,3468.9,62.8,24.9,87.6,3.2,1.4,2.4
6/2009 - 8/2009,1953.1,1726.1,3679.2,0.2,1.6,0.9,69.7,53.5,61,130.1,85.5,215.6,6.7,5,5.9,5.5,1823,1640.6,3463.6,60.4,26.6,86.9,3.1,1.5,2.4
7/2009 - 9/2009,1954.5,1719.5,3673.9,0.3,1.3,0.8,69.7,53.2,60.9,124.2,83.6,207.8,6.4,4.9,5.7,5.4,1830.2,1635.9,3466.1,62.3,26.2,88.6,3.2,1.5,2.4
8/2009 - 10/2009,1941.8,1708.5,3650.2,-0.3,1,0.3,69.2,52.8,60.4,114,74.2,188.2,5.9,4.3,5.2,5.2,1827.7,1634.3,3462,63.2,24.3,87.5,3.3,1.4,2.4
9/2009 - 11/2009,1938.2,1710.6,3648.8,-0.2,1.2,0.4,69,52.7,60.3,110.6,69,179.5,5.7,4,4.9,5.1,1827.6,1641.7,3469.3,65,23.8,88.8,3.4,1.4,2.4
10/2009 - 12/2009,1926.3,1705.9,3632.2,-0.9,0.2,-0.4,68.5,52.6,60,104.8,66.6,171.4,5.4,3.9,4.7,5,1821.5,1639.3,3460.8,59.2,24.1,83.3,3.1,1.4,2.3
11/2009 - 1/2010,1933.5,1705,3638.5,-0.8,0.2,-0.4,68.8,52.5,60,101.2,65,166.2,5.2,3.8,4.6,4.9,1832.3,1640.1,3472.4,55.3,23.4,78.8,2.9,1.4,2.2
12/2009 - 2/2010,1927,1697.1,3624.1,-1,-0.9,-1,68.5,52.2,59.8,97.6,60.7,158.3,5.1,3.6,4.4,4.7,1829.4,1636.5,3465.8,51.7,24.3,76,2.7,1.4,2.1
1/2010 - 3/2010,1926.7,1696.5,3623.2,-1,-1.4,-1.2,68.5,52.1,59.7,103.8,57.3,161.1,5.4,3.4,4.4,4.6,1822.9,1639.1,3462.1,53.9,24.3,78.3,2.8,1.4,2.2
2/2010 - 4/2010,1917.6,1702.2,3619.8,-1.3,-1.1,-1.2,68.1,52.2,59.6,108.2,56.9,165.1,5.6,3.3,4.6,4.5,1809.3,1645.3,3454.6,51.2,24,75.2,2.7,1.4,2.1
3/2010 - 5/2010,1917,1701.6,3618.5,-1.7,-1.5,-1.6,68.1,52.1,59.5,110.7,62.2,172.8,5.8,3.7,4.8,4.6,1806.3,1639.4,3445.7,49.8,23.5,73.3,2.6,1.4,2
4/2010 - 6/2010,1923.2,1703.4,3626.7,-1.4,-1,-1.2,68.3,52.1,59.6,105.7,67.1,172.7,5.5,3.9,4.8,4.6,1817.5,1636.4,3453.9,48.5,23.8,72.3,2.5,1.4,2
5/2010 - 7/2010,1928.1,1701,3629.1,-1.3,-1.6,-1.4,68.4,52,59.6,100.9,65.8,166.7,5.2,3.9,4.6,4.3,1827.2,1635.2,3462.4,48.3,23.7,72,2.5,1.4,2
6/2010 - 8/2010,1938.2,1700.5,3638.7,-0.8,-1.5,-1.1,68.7,51.9,59.7,99.5,66.9,166.4,5.1,3.9,4.6,4.3,1838.7,1633.6,3472.3,47.8,22.1,69.9,2.5,1.3,1.9
7/2010 - 9/2010,1939.8,1699.5,3639.3,-0.8,-1.2,-0.9,68.7,51.8,59.6,96.8,63.2,160,5,3.7,4.4,4.2,1842.9,1636.3,3479.3,48.2,22.6,70.8,2.5,1.3,1.9
8/2010 - 10/2010,1936.7,1704.1,3640.8,-0.3,-0.3,-0.3,68.6,51.8,59.5,91.6,60.3,151.9,4.7,3.5,4.2,4.2,1845.1,1643.8,3488.8,48.4,21.7,70.1,2.5,1.3,1.9
9/2010 - 11/2010,1934.7,1706,3640.7,-0.2,-0.3,-0.2,68.4,51.8,59.5,86,55.5,141.5,4.4,3.3,3.9,4,1848.7,1650.5,3499.2,48.3,22.6,71,2.5,1.3,1.9
10/2010 - 12/2010,1937,1713.4,3650.4,0.6,0.4,0.5,68.5,52,59.6,83.1,51.5,134.6,4.3,3,3.7,3.9,1853.9,1662,3515.8,45.5,20.8,66.3,2.4,1.2,1.8
11/2010 - 1/2011,1936.1,1726.3,3662.4,0.1,1.2,0.7,68.4,52.3,59.8,80.7,47.9,128.6,4.2,2.8,3.5,3.8,1855.5,1678.3,3533.8,46.1,20.8,66.9,2.4,1.2,1.8
12/2010 - 2/2011,1923.6,1730.6,3654.2,-0.2,2,0.8,68,52.4,59.6,79.5,43,122.5,4.1,2.5,3.4,3.6,1844,1687.7,3531.7,42.1,19.2,61.2,2.2,1.1,1.7
1/2011 - 3/2011,1922.2,1736,3658.2,-0.2,2.3,1,67.9,52.5,59.6,79.5,44.5,124,4.1,2.6,3.4,3.5,1842.7,1691.5,3534.2,46.5,19.1,65.6,2.4,1.1,1.8
2/2011 - 4/2011,1930.7,1743.7,3674.4,0.7,2.4,1.5,68.1,52.6,59.8,82.3,49.8,132.1,4.3,2.9,3.6,3.6,1848.4,1694,3542.3,48.3,19.7,68,2.5,1.1,1.9
3/2011 - 5/2011,1942.7,1750.6,3693.3,1.3,2.9,2.1,68.5,52.8,60.1,83.1,52.8,135.8,4.3,3,3.7,3.6,1859.7,1697.8,3557.5,48.1,20.5,68.7,2.5,1.2,1.9
4/2011 - 6/2011,1944.5,1757.2,3701.7,1.1,3.2,2.1,68.5,53,60.1,85,52.7,137.6,4.4,3,3.7,3.6,1859.5,1704.5,3564,43.5,21.5,65,2.2,1.2,1.8
5/2011 - 7/2011,1949.4,1765.1,3714.5,1.1,3.8,2.4,68.7,53.1,60.3,84.1,53.3,137.5,4.3,3,3.7,3.5,1865.2,1711.8,3577,43,21.4,64.3,2.2,1.2,1.7
6/2011 - 8/2011,1952.3,1768.1,3720.4,0.7,4,2.2,68.7,53.1,60.3,78,52.1,130.1,4,2.9,3.5,3.3,1874.2,1716.1,3590.3,46.8,21,67.8,2.4,1.2,1.8
7/2011 - 9/2011,1950.8,1774,3724.8,0.6,4.4,2.4,68.6,53.2,60.3,73.5,53.2,126.7,3.8,3,3.4,3.3,1877.3,1720.8,3598.1,46.3,19.4,65.7,2.4,1.1,1.8
8/2011 - 10/2011,1948.3,1772.7,3721,0.6,4,2.2,68.4,53.1,60.1,74.3,50.5,124.8,3.8,2.8,3.4,3.3,1874,1722.1,3596.2,41.3,17,58.3,2.1,1,1.6
9/2011 - 11/2011,1945,1778,3723,0.5,4.2,2.3,68.3,53.2,60.1,72.2,48.7,120.9,3.7,2.7,3.2,3.3,1872.8,1729.3,3602.1,39.1,15.7,54.9,2,0.9,1.5
10/2011 - 12/2011,1945.8,1785.6,3731.4,0.5,4.2,2.2,68.2,53.3,60.2,71.3,45.3,116.6,3.7,2.5,3.1,3.3,1874.4,1740.4,3614.8,38.1,14.6,52.7,2,0.8,1.4
11/2011 - 1/2012,1952.3,1783.2,3735.5,0.8,3.3,2,68.4,53.2,60.2,70.1,42.7,112.8,3.6,2.4,3,3.2,1882.2,1740.5,3622.7,39.1,15.8,54.9,2,0.9,1.5
12/2011 - 2/2012,1960.9,1793.7,3754.5,1.9,3.6,2.7,68.6,53.4,60.4,74.8,44.5,119.3,3.8,2.5,3.2,3.4,1886.1,1749.2,3635.2,39.7,16.6,56.4,2,0.9,1.5
1/2012 - 3/2012,1967.1,1793.3,3760.4,2.3,3.3,2.8,68.8,53.3,60.4,78.3,45,123.3,4,2.5,3.3,3.3,1888.8,1748.3,3637.1,40.7,18.1,58.8,2.1,1,1.6
2/2012 - 4/2012,1958.9,1799.2,3758.1,1.5,3.2,2.3,68.5,53.4,60.3,76,48.3,124.3,3.9,2.7,3.3,3.3,1882.8,1750.9,3633.8,41.7,16.3,58,2.1,0.9,1.5
3/2012 - 5/2012,1962.2,1806.5,3768.7,1,3.2,2,68.5,53.6,60.4,74.1,49.6,123.7,3.8,2.7,3.3,3.2,1888.1,1756.9,3645,40.6,13.8,54.4,2.1,0.8,1.4
4/2012 - 6/2012,1964.1,1817.7,3781.8,1,3.4,2.2,68.5,53.8,60.6,73.9,53.2,127.1,3.8,2.9,3.4,3.3,1890.2,1764.6,3654.7,41.8,13.1,54.9,2.1,0.7,1.5
5/2012 - 7/2012,1972.6,1819.2,3791.9,1.2,3.1,2.1,68.8,53.8,60.7,74.9,54.1,129,3.8,3,3.4,3.2,1897.7,1765.1,3662.8,41.8,15,56.8,2.1,0.8,1.5
6/2012 - 8/2012,1974.1,1817.9,3792,1.1,2.8,1.9,68.8,53.7,60.6,74.7,56.2,130.8,3.8,3.1,3.4,3.3,1899.4,1761.7,3661.1,47.5,15.9,63.3,2.4,0.9,1.7
7/2012 - 9/2012,1967.5,1808.8,3776.4,0.9,2,1.4,68.5,53.4,60.3,75.7,56.4,132.1,3.8,3.1,3.5,3.4,1891.8,1752.5,3644.3,44.6,14.8,59.4,2.3,0.8,1.6
8/2012 - 10/2012,1968.3,1811.8,3780.1,1,2.2,1.6,68.5,53.4,60.3,74.7,55.2,129.9,3.8,3,3.4,3.4,1893.6,1756.6,3650.2,43.1,14.3,57.4,2.2,0.8,1.5
9/2012 - 11/2012,1960.1,1816.7,3776.9,0.8,2.2,1.4,68.2,53.4,60.2,76.4,50,126.4,3.9,2.8,3.3,3.4,1883.8,1766.7,3650.4,38.3,15.2,53.5,2,0.8,1.4
10/2012 - 12/2012,1966.8,1823,3789.8,1.1,2.1,1.6,68.4,53.6,60.4,72.2,44.4,116.6,3.7,2.4,3.1,3.2,1894.6,1778.6,3673.2,40.4,15.7,56.2,2.1,0.9,1.5
11/2012 - 1/2013,1974.1,1835,3809.1,1.1,2.9,2,68.5,53.9,60.6,75.8,46.5,122.3,3.8,2.5,3.2,3.5,1898.3,1788.5,3686.8,43.9,16,60,2.2,0.9,1.6
12/2012 - 2/2013,1978.1,1837.8,3815.9,0.9,2.5,1.6,68.7,54,60.7,75.2,49.5,124.7,3.8,2.7,3.3,3.5,1903,1788.3,3691.2,43.3,15.2,58.5,2.2,0.8,1.5
1/2013 - 3/2013,1982.5,1850.3,3832.8,0.8,3.2,1.9,68.8,54.3,60.9,80.2,53.8,133.9,4,2.9,3.5,3.5,1902.3,1796.6,3698.9,45.7,14.8,60.4,2.3,0.8,1.6
2/2013 - 4/2013,1983.3,1847.3,3830.6,1.2,2.7,1.9,68.9,54.2,60.9,80.6,53.9,134.5,4.1,2.9,3.5,3.5,1902.7,1793.4,3696.1,46.5,14.5,61,2.3,0.8,1.6
3/2013 - 5/2013,1996.4,1851.9,3848.3,1.7,2.5,2.1,69.3,54.3,61.2,80.4,54.8,135.2,4,3,3.5,3.5,1916,1797.2,3713.1,46.2,16.6,62.8,2.3,0.9,1.6
4/2013 - 6/2013,1998.5,1858.3,3856.7,1.8,2.2,2,69.4,54.4,61.3,76.9,56.5,133.3,3.8,3,3.5,3.4,1921.6,1801.8,3723.4,44.2,17.3,61.4,2.2,0.9,1.6
5/2013 - 7/2013,1999.9,1862.7,3862.6,1.4,2.4,1.9,69.4,54.5,61.3,78,57.1,135.2,3.9,3.1,3.5,3.3,1921.9,1805.6,3727.4,42.7,16.3,59,2.1,0.9,1.5
6/2013 - 8/2013,2005.6,1864,3869.6,1.6,2.5,2,69.6,54.5,61.4,76.7,59.6,136.3,3.8,3.2,3.5,3.3,1928.9,1804.4,3733.3,44.5,14.7,59.1,2.2,0.8,1.5
7/2013 - 9/2013,2007.5,1857.3,3864.8,2,2.7,2.3,69.6,54.3,61.3,76.7,57.8,134.6,3.8,3.1,3.5,3.3,1930.7,1799.5,3730.2,43.3,13.5,56.8,2.2,0.7,1.5
8/2013 - 10/2013,1998.1,1854.2,3852.3,1.5,2.3,1.9,69.2,54.1,61,73.9,55.9,129.8,3.7,3,3.4,3.3,1924.2,1798.3,3722.5,42.6,13.9,56.6,2.1,0.8,1.5
9/2013 - 11/2013,1988.2,1854.8,3843,1.4,2.1,1.8,68.8,54.1,60.8,73.8,54,127.8,3.7,2.9,3.3,3.3,1914.4,1800.8,3715.2,41.4,13.6,55,2.1,0.7,1.4
10/2013 - 12/2013,1988.7,1869.1,3857.8,1.1,2.5,1.8,68.8,54.4,61,69.5,49.1,118.5,3.5,2.6,3.1,3.2,1919.2,1820,3739.2,40.7,14.9,55.6,2,0.8,1.4
11/2013 - 1/2014,1985.3,1873.4,3858.7,0.6,2.1,1.3,68.7,54.5,61,67.6,46,113.5,3.4,2.5,2.9,3.2,1917.7,1827.4,3745.2,37.7,13.6,51.3,1.9,0.7,1.3
12/2013 - 2/2014,1972.8,1854.1,3826.9,-0.3,0.9,0.3,68.3,54,60.5,69.7,42.6,112.3,3.5,2.3,2.9,3.1,1903.1,1811.5,3714.6,33,14,47,1.7,0.8,1.2
1/2014 - 3/2014,1963.9,1853.2,3817,-0.9,0.2,-0.4,68,53.9,60.4,73.2,45.7,119,3.7,2.5,3.1,3.2,1890.6,1807.4,3698,34.4,14,48.4,1.8,0.8,1.3
2/2014 - 4/2014,1968.9,1852.2,3821.1,-0.7,0.3,-0.2,68.2,53.9,60.4,72.7,49.3,122.1,3.7,2.7,3.2,3.2,1896.1,1802.9,3699,37.7,16.2,53.9,1.9,0.9,1.4
3/2014 - 5/2014,1971.6,1868.1,3839.7,-1.2,0.9,-0.2,68.1,54.2,60.5,70.3,51.8,122.2,3.6,2.8,3.2,3.2,1901.2,1816.3,3717.5,43.2,17.5,60.7,2.2,0.9,1.6
4/2014 - 6/2014,1979.6,1871.4,3851,-0.9,0.7,-0.1,68.5,54.2,60.7,69.8,57.7,127.6,3.5,3.1,3.3,3.2,1909.8,1813.7,3723.5,42.8,15.4,58.3,2.2,0.8,1.5
5/2014 - 7/2014,1992.4,1883.3,3875.7,-0.4,1.1,0.3,68.9,54.6,61.2,73.5,60.9,134.5,3.7,3.2,3.5,3.3,1918.9,1822.4,3741.3,43.3,14.5,57.7,2.2,0.8,1.5
6/2014 - 8/2014,2003.6,1894.3,3897.9,-0.1,1.6,0.7,69.3,54.9,61.5,73.6,63.6,137.2,3.7,3.4,3.5,3.3,1930.1,1830.6,3760.7,41.7,13.3,55,2.1,0.7,1.4
7/2014 - 9/2014,2001.4,1892.2,3893.6,-0.3,1.9,0.7,69.2,54.8,61.3,73.1,61.8,135,3.7,3.3,3.5,3.3,1928.3,1830.4,3758.7,42.1,15.2,57.3,2.1,0.8,1.5
8/2014 - 10/2014,2001.1,1885.9,3887,0.1,1.7,0.9,69.1,54.6,61.2,71.9,59.4,131.3,3.6,3.2,3.4,3.3,1929.2,1826.5,3755.7,41.6,16.5,58.1,2.1,0.9,1.5
9/2014 - 11/2014,1998.4,1887.9,3886.3,0.5,1.8,1.1,69.1,54.6,61.2,69.1,58.9,128.1,3.5,3.1,3.3,3.3,1929.2,1829,3758.3,45.1,17.2,62.3,2.3,0.9,1.6
10/2014 - 12/2014,1995.7,1899.5,3895.3,0.4,1.6,1,68.8,54.9,61.3,65.8,56.8,122.6,3.3,3,3.1,3.3,1929.9,1842.7,3772.6,46.1,16.8,62.9,2.3,0.9,1.6
11/2014 - 1/2015,1991.5,1911,3902.4,0.3,2,1.1,68.8,55.1,61.3,64,56.2,120.2,3.2,2.9,3.1,3.3,1927.5,1854.8,3782.3,45.4,16.3,61.7,2.3,0.9,1.6
12/2014 - 2/2015,1990,1918.1,3908.1,0.9,3.5,2.1,68.6,55.2,61.3,64,57.4,121.4,3.2,3,3.1,3.3,1926,1860.6,3786.6,40.9,16.5,57.3,2.1,0.9,1.5
1/2015 - 3/2015,1993.8,1914.2,3908,1.5,3.3,2.4,68.8,55.1,61.3,70,56.5,126.5,3.5,3,3.2,3.3,1923.8,1857.7,3781.5,38.9,14.6,53.4,1.9,0.8,1.4
2/2015 - 4/2015,1988.3,1905.1,3893.4,1,2.9,1.9,68.6,54.9,61.1,68.2,59,127.2,3.4,3.1,3.3,3.3,1920.1,1846.1,3766.2,35.6,14,49.5,1.8,0.7,1.3
3/2015 - 5/2015,1982.5,1898.7,3881.2,0.6,1.6,1.1,68.4,54.7,60.9,67.9,59.2,127,3.4,3.1,3.3,3.3,1914.7,1839.5,3754.1,39.4,13.7,53,2,0.7,1.4
4/2015 - 6/2015,1989.9,1901,3890.9,0.5,1.6,1,68.6,54.7,61,65.5,63.7,129.2,3.3,3.4,3.3,3.3,1924.4,1837.3,3761.7,40.7,14.9,55.5,2,0.8,1.4
5/2015 - 7/2015,1997.5,1907.6,3905.1,0.3,1.3,0.8,68.9,54.8,61.2,68.7,64.5,133.2,3.4,3.4,3.4,3.3,1928.8,1843.1,3771.9,43.1,13.2,56.3,2.2,0.7,1.4
6/2015 - 8/2015,2009.6,1909.9,3919.5,0.3,0.8,0.6,69.2,54.8,61.3,72.1,65.7,137.7,3.6,3.4,3.5,3.3,1937.5,1844.2,3781.7,43.1,11.9,55.1,2.1,0.6,1.4
7/2015 - 9/2015,2004,1904.2,3908.2,0.1,0.6,0.4,69,54.6,61.1,73.1,63.9,137,3.6,3.4,3.5,3.3,1930.9,1840.3,3771.3,41.5,11.7,53.2,2.1,0.6,1.4
8/2015 - 10/2015,1997.7,1901.1,3898.8,-0.2,0.8,0.3,68.8,54.5,61,70,63.9,133.9,3.5,3.4,3.4,3.3,1927.7,1837.2,3764.9,40.8,12.8,53.6,2,0.7,1.4
9/2015 - 11/2015,1995.9,1903.8,3899.7,-0.1,0.8,0.3,68.7,54.5,60.9,67.7,62.5,130.3,3.4,3.3,3.3,3.3,1928.2,1841.2,3769.4,39.1,13.3,52.4,2,0.7,1.3
10/2015 - 12/2015,1991.3,1912.6,3903.9,-0.2,0.7,0.2,68.5,54.6,60.9,65.4,58.2,123.6,3.3,3,3.2,3.3,1925.9,1854.3,3780.2,38.8,14.3,53.1,1.9,0.7,1.4
11/2015 - 1/2016,1989.8,1919.5,3909.3,-0.1,0.4,0.2,68.4,54.9,61,65.7,56.3,122.1,3.3,2.9,3.1,3.4,1924.1,1863.1,3787.2,38.3,15.1,53.3,1.9,0.8,1.4
12/2015 - 2/2016,1989.8,1920.7,3910.5,[¡ì3],0.1,0.1,68.5,54.9,61.1,67.8,55.1,122.9,3.4,2.9,3.1,3.4,1922,1865.6,3787.6,35.3,15.2,50.6,1.8,0.8,1.3
1/2016 - 3/2016,1994.8,1919.3,3914.1,0.1,0.3,0.2,68.7,54.8,61.1,72.9,58.2,131.1,3.7,3,3.3,3.4,1921.9,1861.1,3783,36.7,16.8,53.5,1.8,0.9,1.4
2/2016 - 4/2016,1989,1919.5,3908.5,[¡ì3],0.8,0.4,68.3,54.7,60.9,76.3,58.2,134.5,3.8,3,3.4,3.4,1912.6,1861.3,3774,36.4,16.9,53.3,1.8,0.9,1.4
3/2016 - 5/2016,1985.2,1917.3,3902.5,0.1,1,0.5,68.1,54.7,60.8,76.2,58.6,134.7,3.8,3.1,3.5,3.4,1909,1858.7,3767.8,39.8,16.6,56.4,2,0.9,1.4
4/2016 - 6/2016,1993.9,1917.3,3911.2,0.2,0.9,0.5,68.4,54.6,60.9,75.7,61.1,136.9,3.8,3.2,3.5,3.4,1918.2,1856.1,3774.3,38.7,15.9,54.5,1.9,0.8,1.4
5/2016 - 7/2016,2010,1912.2,3922.2,0.6,0.2,0.4,69,54.4,61,78,61.1,139.1,3.9,3.2,3.5,3.4,1932,1851.1,3783.1,39.7,16.4,56.1,2,0.9,1.4
6/2016 - 8/2016,2013,1919.4,3932.4,0.2,0.5,0.3,69.1,54.5,61.1,79.6,62.1,141.7,4,3.2,3.6,3.4,1933.4,1857.4,3790.7,39,17,56,1.9,0.9,1.4
7/2016 - 9/2016,2002.3,1922.8,3925.1,-0.1,1,0.4,68.7,54.6,61,78.9,61,139.9,3.9,3.2,3.6,3.4,1923.3,1861.8,3785.1,40.3,15.4,55.7,2,0.8,1.4
8/2016 - 10/2016,1993,1925.8,3918.7,-0.2,1.3,0.5,68.3,54.6,60.8,74.9,61.3,136.2,3.8,3.2,3.5,3.4,1918.1,1864.4,3782.5,42.8,13,55.7,2.1,0.7,1.4
9/2016 - 11/2016,1985.8,1922.3,3908,-0.5,1,0.2,68.1,54.5,60.6,71.8,59.3,131,3.6,3.1,3.4,3.3,1914,1863,3777,41.8,13.2,55.1,2.1,0.7,1.4
10/2016 - 12/2016,1982.2,1928.9,3911,-0.5,0.9,0.2,67.9,54.5,60.6,68.4,54,122.4,3.4,2.8,3.1,3.3,1913.8,1874.8,3788.6,41.2,13.4,54.6,2.1,0.7,1.4
11/2016 - 1/2017,1981.2,1943.2,3924.4,-0.4,1.2,0.4,67.9,54.9,60.8,65.8,55.4,121.2,3.3,2.8,3.1,3.3,1915.4,1887.8,3803.2,37.1,13.2,50.3,1.9,0.7,1.3
12/2016 - 2/2017,1984.2,1947.4,3931.6,-0.3,1.4,0.5,68.1,55.2,61,68.2,53.2,121.4,3.4,2.7,3.1,3.3,1916,1894.2,3810.2,35.1,13.1,48.3,1.8,0.7,1.2
1/2017 - 3/2017,1988.5,1947.2,3935.7,-0.3,1.5,0.6,68.3,55.1,61,71.4,55.3,126.7,3.6,2.8,3.2,3.3,1917.1,1891.9,3808.9,35.2,13.7,48.9,1.8,0.7,1.2
2/2017 - 4/2017,1986.2,1943.6,3929.8,-0.1,1.3,0.5,68.2,54.9,60.9,71.5,55.8,127.3,3.6,2.9,3.2,3.2,1914.7,1887.8,3802.6,35.1,14.4,49.5,1.8,0.7,1.3
3/2017 - 5/2017,1984,1948.6,3932.6,-0.1,1.6,0.8,68,55.1,60.9,71.5,56.2,127.6,3.6,2.9,3.2,3.2,1912.5,1892.5,3805,34.3,13.7,48,1.7,0.7,1.2
4/2017 - 6/2017,1987.9,1949.5,3937.4,-0.3,1.7,0.7,68.1,55,61,69.9,55.9,125.7,3.5,2.9,3.2,3.1,1918,1893.7,3811.6,33.4,12.8,46.2,1.7,0.7,1.2
5/2017 - 7/2017,1998.6,1954.4,3953,-0.6,2.2,0.8,68.5,55.1,61.1,72.4,57.8,130.1,3.6,3,3.3,3.2,1926.2,1896.6,3822.9,32.8,12.4,45.2,1.6,0.6,1.1
6/2017 - 8/2017,2008.1,1952.4,3960.4,-0.2,1.7,0.7,68.8,55,61.2,70.9,60.1,131,3.5,3.1,3.3,3.1,1937.2,1892.2,3829.4,35.7,10.9,46.6,1.8,0.6,1.2
7/2017 - 9/2017,2008.9,1946.3,3955.2,0.3,1.2,0.8,68.7,54.8,61.1,70.9,58.5,129.4,3.5,3,3.3,3.1,1938,1887.7,3825.8,35.1,9.7,44.8,1.7,0.5,1.1
8/2017 - 10/2017,2007.2,1949.1,3956.3,0.7,1.2,1,68.6,54.8,61,66.2,58.1,124.3,3.3,3,3.1,3,1941,1891,3832,35.5,9.1,44.6,1.8,0.5,1.1
9/2017 - 11/2017,2002.6,1953.1,3955.7,0.8,1.6,1.2,68.4,54.9,61,65.7,53.2,118.9,3.3,2.7,3,3,1936.9,1899.9,3836.8,32.9,9,41.9,1.6,0.5,1.1
10/2017 - 12/2017,2000.2,1960.3,3960.5,0.9,1.6,1.3,68.3,55,61,59.6,50.4,110,3,2.6,2.8,2.9,1940.6,1909.9,3850.6,32.5,9.9,42.4,1.6,0.5,1.1
11/2017 - 1/2018,2007.2,1967,3974.2,1.3,1.2,1.3,68.6,55.2,61.2,62.5,43.7,106.2,3.1,2.2,2.7,2.9,1944.7,1923.2,3868,30.5,9.5,40,1.5,0.5,1
12/2017 - 2/2018,2011.2,1972.9,3984.1,1.4,1.3,1.3,68.7,55.3,61.3,61.8,44.7,106.5,3.1,2.3,2.7,2.9,1949.4,1928.2,3877.6,29.7,10.4,40.1,1.5,0.5,1
1/2018 - 3/2018,2011.3,1976.7,3987.9,1.1,1.5,1.3,68.7,55.4,61.4,66,45.6,111.5,3.3,2.3,2.8,2.8,1945.3,1931.1,3876.4,29.2,9.6,38.8,1.5,0.5,1
2/2018 - 4/2018,2006.3,1977,3983.3,1,1.7,1.4,68.5,55.2,61.2,63.7,49,112.7,3.2,2.5,2.8,2.8,1942.6,1928,3870.6,29.6,11.4,41,1.5,0.6,1
3/2018 - 5/2018,2008.2,1969.4,3977.6,1.2,1.1,1.1,68.5,55,61.1,63.7,48.5,112.2,3.2,2.5,2.8,2.8,1944.5,1920.9,3865.4,30.3,10.7,40.9,1.5,0.5,1
4/2018 - 6/2018,2004.3,1979.2,3983.5,0.8,1.5,1.2,68.4,55.3,61.2,63.7,48.8,112.4,3.2,2.5,2.8,2.8,1940.6,1930.4,3871,29.8,11.6,41.4,1.5,0.6,1
5/2018 - 7/2018,2010.7,1980.7,3991.3,0.6,1.3,1,68.6,55.3,61.2,65.3,49.4,114.7,3.2,2.5,2.9,2.8,1945.4,1931.3,3876.7,34.1,9.9,44,1.7,0.5,1.1
6/2018 - 8/2018,2015.7,1990.1,4005.9,0.4,1.9,1.1,68.7,55.5,61.4,65.9,51.7,117.5,3.3,2.6,2.9,2.8,1949.9,1938.5,3888.4,35.2,10.1,45.3,1.7,0.5,1.1
7/2018 - 9/2018,2021.2,1978.7,3999.9,0.6,1.7,1.1,68.8,55.1,61.3,66.4,51.4,117.9,3.3,2.6,2.9,2.8,1954.8,1927.2,3882,36.9,10.1,47,1.8,0.5,1.2
8/2018 - 10/2018,2019.2,1978.2,3997.4,0.6,1.5,1,68.7,55,61.1,69.5,46.7,116.2,3.4,2.4,2.9,2.8,1949.7,1931.4,3881.2,34.7,11.8,46.5,1.7,0.6,1.2
