"Table 210-06101 : Statistics on labour force, employment, unemployment and underemployment",,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force participation rate (2),Labour force participation rate (2),Labour force participation rate (2),Unemployed persons (3),Unemployed persons (3),Unemployed persons (3),Unemployment rate (4),Unemployment rate (4),Unemployment rate (4),Unemployment rate (seasonally adjusted) (5),Employed persons (6),Employed persons (6),Employed persons (6),Underemployed persons (7),Underemployed persons (7),Underemployed persons (7),Underemployment rate (8),Underemployment rate (8),Underemployment rate (8)
,,No. ('000),No. ('000),No. ('000),Year-on-year % change,Year-on-year % change,Year-on-year % change,(%),(%),(%),No. ('000),No. ('000),No. ('000),(%),(%),(%),(%),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),(%),(%),(%)
Sex,,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes
Year / Moving 3-month period,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,1952.7,1560.1,3512.8,0.4,2.5,1.4,71.6,51.9,61.3,151.8,87.4,239.2,7.8,5.6,6.8,N.A.,1800.8,1472.7,3273.5,74.1,40.2,114.3,3.8,2.6,3.3
2005,,1950.1,1584.1,3534.2,-0.1,1.5,0.6,71.1,51.8,60.9,127.5,70.1,197.6,6.5,4.4,5.6,N.A.,1822.6,1514.0,3336.6,64.7,31.6,96.3,3.3,2.0,2.7
2006,,1950.6,1621.2,3571.8,[§3],2.3,1.1,70.9,52.6,61.2,110.2,60.8,171.1,5.7,3.8,4.8,N.A.,1840.4,1560.4,3400.8,60.0,26.2,86.3,3.1,1.6,2.4
2007,,1953.6,1668.7,3622.3,0.2,2.9,1.4,70.4,53.1,61.2,89.0,56.3,145.3,4.6,3.4,4.0,N.A.,1864.6,1612.4,3476.9,56.6,22.8,79.4,2.9,1.4,2.2
2008,,1944.0,1693.2,3637.2,-0.5,1.5,0.4,69.7,53.1,60.9,78.3,49.7,128.0,4.0,2.9,3.5,N.A.,1865.6,1643.5,3509.1,50.3,17.6,67.9,2.6,1.0,1.9
2009,,1944.5,1715.8,3660.3,[§3],1.3,0.6,69.4,53.2,60.8,118.3,74.4,192.6,6.1,4.3,5.3,N.A.,1826.2,1641.4,3467.6,60.0,23.8,83.8,3.1,1.4,2.3
2010,,1931.3,1700.0,3631.3,-0.7,-0.9,-0.8,68.5,51.9,59.6,97.6,59.5,157.2,5.1,3.5,4.3,N.A.,1833.7,1640.5,3474.1,49.3,23.2,72.5,2.6,1.4,2.0
2011,,1942.7,1760.4,3703.1,0.6,3.6,2.0,68.4,53.0,60.1,77.5,49.2,126.7,4.0,2.8,3.4,N.A.,1865.2,1711.2,3576.4,43.9,19.4,63.3,2.3,1.1,1.7
2012,,1970.9,1811.3,3782.2,1.5,2.9,2.1,68.7,53.5,60.5,74.3,49.9,124.3,3.8,2.8,3.3,N.A.,1896.6,1761.4,3658.0,41.8,15.4,57.2,2.1,0.9,1.5
2013,,1993.4,1861.8,3855.1,1.1,2.8,1.9,69.2,54.5,61.2,75.8,55.3,131.1,3.8,3.0,3.4,N.A.,1917.6,1806.5,3724.0,42.9,15.4,58.3,2.2,0.8,1.5
2014,,1989.7,1881.4,3871.1,-0.2,1.1,0.4,68.8,54.5,61.1,71.0,56.6,127.6,3.6,3.0,3.3,N.A.,1918.7,1824.8,3743.5,41.2,15.6,56.8,2.1,0.8,1.5
2015,,1997.2,1906.0,3903.2,0.4,1.3,0.8,68.8,54.7,61.1,68.7,60.7,129.4,3.4,3.2,3.3,N.A.,1928.5,1845.3,3773.8,39.5,13.8,53.3,2.0,0.7,1.4
2016,,1995.8,1924.3,3920.1,-0.1,1.0,0.4,68.6,54.8,61.1,73.7,59.3,133.0,3.7,3.1,3.4,N.A.,1922.1,1865.0,3787.1,39.4,15.2,54.7,2.0,0.8,1.4
2017,,1998.0,1958.0,3956.0,0.1,1.8,0.9,68.4,55.2,61.1,67.6,56.0,123.6,3.4,2.9,3.1,N.A.,1930.5,1902.0,3832.4,34.0,11.6,45.7,1.7,0.6,1.2
2018,,2014.9,1981.8,3996.8,0.8,1.2,1.0,68.6,55.3,61.3,64.1,48.0,112.1,3.2,2.4,2.8,N.A.,1950.8,1933.8,3884.6,32.2,11.0,43.2,1.6,0.6,1.1
2019,,1990.1,1997.6,3987.8,-1.2,0.8,-0.2,67.6,55.1,60.7,70.4,45.9,116.3,3.5,2.3,2.9,N.A.,1919.7,1951.7,3871.4,30.7,11.3,42.0,1.5,0.6,1.1
2020,,1954.6,1963.8,3918.5,-1.8,-1.7,-1.7,66.3,54.3,59.7,134.5,93.1,227.6,6.9,4.7,5.8,N.A.,1820.1,1870.8,3690.9,75.1,54.8,129.9,3.8,2.8,3.3
2021,,1923.1,1947.3,3870.4,-1.6,-0.8,-1.2,65.8,54.2,59.4,118.0,82.2,200.3,6.1,4.2,5.2,N.A.,1805.1,1865.1,3670.2,57.9,41.0,98.9,3.0,2.1,2.6
2022,,1886.0,1890.3,3776.3,-1.9,-2.9,-2.4,64.7,52.9,58.2,96.5,66.6,163.1,5.1,3.5,4.3,N.A.,1789.5,1823.7,3613.2,52.8,35.3,88.1,2.8,1.9,2.3
1/1985 - 3/1985,,1649.4,945.0,2594.4,N.A.,N.A.,N.A.,80.4,48.3,64.7,55.6,22.0,77.6,3.4,2.3,3.0,2.9,1593.8,923.0,2516.8,27.2,12.5,39.7,1.6,1.3,1.5
2/1985 - 4/1985,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
3/1985 - 5/1985,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
